Session,Contrat établissement,g_ea_lib_vx,numero_departement,nombre_de_boursiers
2019,Public,Lycée professionnel Reffye,65,156
2019,Public,Lycée professionnel Reffye,65,26
2019,Public,Lycée professionnel Reffye,65,903
2019,Public,Lycée professionnel Reffye,65,376
2019,Public,Lycée professionnel Reffye,65,17
2019,Public,Lycée professionnel Reffye,65,2163
2019,Public,Lycée professionnel Reffye,65,36
2019,Public,Lycée professionnel Reffye,65,697
2019,Public,Lycée professionnel Reffye,65,145
2019,Public,Lycée professionnel Reffye,65,119
2019,Public,Université Paul Valery - Montpellier 3,34,228
2019,Public,Université Paul Valery - Montpellier 3,34,15243
2019,Public,Université Paul Valery - Montpellier 3,34,3446
2019,Public,Université Paul Valery - Montpellier 3,34,827
2019,Public,Université Paul Valery - Montpellier 3,34,7047
2019,Public,Université Paul Valery - Montpellier 3,34,1122
2019,Public,Université Paul Valery - Montpellier 3,34,33
2019,Public,Université Paul Valery - Montpellier 3,34,479
2019,Public,Université Paul Valery - Montpellier 3,34,265
2019,Public,Lycée professionnel Renee Bonnet,31,13581
2019,Public,Lycée professionnel Renee Bonnet,31,6066
2019,Public,Lycée professionnel Renee Bonnet,31,23
2019,Public,Lycée professionnel Renee Bonnet,31,3126
2019,Public,Lycée professionnel Renee Bonnet,31,643
2019,Public,Lycée professionnel Renee Bonnet,31,896
2019,Public,Lycée professionnel Renee Bonnet,31,511
2019,Public,Lycée professionnel Renee Bonnet,31,446
2019,Public,Lycée professionnel Renee Bonnet,31,100
2019,Public,Lycée professionnel Renee Bonnet,31,180
2019,Public,Lycée Jean De Prades,82,3468
2019,Public,Lycée Jean De Prades,82,668
2019,Public,Lycée Jean De Prades,82,68
2019,Public,Lycée Jean De Prades,82,29
2019,Public,Lycée Jean De Prades,82,106
2019,Public,Lycée Jean De Prades,82,1427
2019,Public,Lycée Jean De Prades,82,344
2019,Public,Lycée Jean De Prades,82,115
2019,Public,Lycée Jean De Prades,82,27
2019,Public,Lycée Jean De Prades,82,0
2019,Privé,Lycée De La Salle,30,586
2019,Privé,Lycée De La Salle,30,775
2019,Privé,Lycée De La Salle,30,577
2019,Privé,Lycée De La Salle,30,144
2019,Privé,Lycée De La Salle,30,2282
2019,Privé,Lycée De La Salle,30,1448
2019,Privé,Lycée De La Salle,30,3924
2019,Privé,Lycée De La Salle,30,48
2019,Privé,Lycée De La Salle,30,10483
2019,Privé,Lycée De La Salle,30,171
2019,Privé,Lycée Saint-Joseph,31,13581
2019,Privé,Lycée Saint-Joseph,31,6066
2019,Privé,Lycée Saint-Joseph,31,23
2019,Privé,Lycée Saint-Joseph,31,3126
2019,Privé,Lycée Saint-Joseph,31,643
2019,Privé,Lycée Saint-Joseph,31,896
2019,Privé,Lycée Saint-Joseph,31,511
2019,Privé,Lycée Saint-Joseph,31,446
2019,Privé,Lycée Saint-Joseph,31,100
2019,Privé,Lycée Saint-Joseph,31,180
2019,Public,Université Toulouse 1 Capitole,31,13581
2019,Public,Université Toulouse 1 Capitole,31,6066
2019,Public,Université Toulouse 1 Capitole,31,23
2019,Public,Université Toulouse 1 Capitole,31,3126
2019,Public,Université Toulouse 1 Capitole,31,643
2019,Public,Université Toulouse 1 Capitole,31,896
2019,Public,Université Toulouse 1 Capitole,31,511
2019,Public,Université Toulouse 1 Capitole,31,446
2019,Public,Université Toulouse 1 Capitole,31,100
2019,Public,Université Toulouse 1 Capitole,31,180
2019,Public,Lycée Rive Gauche,31,13581
2019,Public,Lycée Rive Gauche,31,6066
2019,Public,Lycée Rive Gauche,31,23
2019,Public,Lycée Rive Gauche,31,3126
2019,Public,Lycée Rive Gauche,31,643
2019,Public,Lycée Rive Gauche,31,896
2019,Public,Lycée Rive Gauche,31,511
2019,Public,Lycée Rive Gauche,31,446
2019,Public,Lycée Rive Gauche,31,100
2019,Public,Lycée Rive Gauche,31,180
2019,Public,L.E.G.T.A. Beaulieu-Lavacant,32,640
2019,Public,L.E.G.T.A. Beaulieu-Lavacant,32,14
2019,Public,L.E.G.T.A. Beaulieu-Lavacant,32,1665
2019,Public,L.E.G.T.A. Beaulieu-Lavacant,32,402
2019,Public,L.E.G.T.A. Beaulieu-Lavacant,32,173
2019,Public,L.E.G.T.A. Beaulieu-Lavacant,32,73
2019,Public,L.E.G.T.A. Beaulieu-Lavacant,32,80
2019,Public,L.E.G.T.A. Beaulieu-Lavacant,32,35
2019,Public,PREFMS - CHU Toulouse - Etab. public / ERASS : DE Assistant de Service Social / IFMEM : DE Manipulateur en Electroradiologie,31,13581
2019,Public,PREFMS - CHU Toulouse - Etab. public / ERASS : DE Assistant de Service Social / IFMEM : DE Manipulateur en Electroradiologie,31,6066
2019,Public,PREFMS - CHU Toulouse - Etab. public / ERASS : DE Assistant de Service Social / IFMEM : DE Manipulateur en Electroradiologie,31,23
2019,Public,PREFMS - CHU Toulouse - Etab. public / ERASS : DE Assistant de Service Social / IFMEM : DE Manipulateur en Electroradiologie,31,3126
2019,Public,PREFMS - CHU Toulouse - Etab. public / ERASS : DE Assistant de Service Social / IFMEM : DE Manipulateur en Electroradiologie,31,643
2019,Public,PREFMS - CHU Toulouse - Etab. public / ERASS : DE Assistant de Service Social / IFMEM : DE Manipulateur en Electroradiologie,31,896
2019,Public,PREFMS - CHU Toulouse - Etab. public / ERASS : DE Assistant de Service Social / IFMEM : DE Manipulateur en Electroradiologie,31,511
2019,Public,PREFMS - CHU Toulouse - Etab. public / ERASS : DE Assistant de Service Social / IFMEM : DE Manipulateur en Electroradiologie,31,446
